Hotel Name,Price,Star,Rating
"Le Méridien New York, Fifth Avenue","₹ 168,690",4,7.8
Omni Berkshire Place,"₹ 224,452",4,8.7
"voco Times Square South New York, an IHG Hotel","₹ 107,198",4,7.9
Hilton Garden Inn New York Manhattan Midtown East,"₹ 105,970",3,7.4
Life Hotel New York,"₹ 127,225",4,7.9
W New York - Times Square,"₹ 126,392",4,7.7
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,"₹ 102,649",3,7.9
"11 Howard, New York, a Member of Design Hotels","₹ 166,429",5,7.6
Wyndham Garden Chinatown,"₹ 90,987",4,7.6
Hilton Garden Inn West 35th Street,"₹ 107,852",3,8.3
Pestana Park Avenue,"₹ 143,227",4,8.6
Da Vinci Hotel,"₹ 78,566",3,7.3
Loews Regency New York Hotel,"₹ 226,735",5,8.5
"Kimpton Hotel Theta, an IHG Hotel","₹ 112,739",5,8.2
"The Algonquin Hotel Times Square, Autograph Collection","₹ 191,556",4,8.1
Hotel Beacon,"₹ 115,781",4,8.8
Aliz Hotel Times Square,"₹ 112,630",4,8.0
The Hotel Chelsea,"₹ 162,492",4,9.3
"Distrikt Hotel New York City, Tapestry Collection by Hilton","₹ 105,338",4,7.5
"Holiday Inn Express - Times Square South, an IHG Hotel","₹ 102,269",3,7.8
"Hotel Indigo Lower East Side New York, an IHG Hotel","₹ 92,218",4,7.4
"Dream Downtown, by Hyatt","₹ 110,647",4,7.4
"Dream Midtown, by Hyatt","₹ 119,859",4,7.6
"InterContinental New York Times Square, an IHG Hotel","₹ 128,318",4,8.0
Courtyard New York Manhattan/Midtown East,"₹ 135,438",4,8.0
San Carlos Hotel New York,"₹ 116,943",4,8.8
Hilton New York Fashion District,"₹ 125,373",4,7.4
Hotel Giraffe by Library Hotel Collection,"₹ 172,271",4,8.9
Henn na Hotel New York,"₹ 106,579",4,8.5
Best Western Premier Herald Square,"₹ 95,714",3,7.6
Element Times Square West,"₹ 109,079",4,7.8
Lamartine Chelsea,"₹ 66,513",1,6.5
The Mark New York,"₹ 385,709",5,8.8
Hilton Garden Inn New York - Times Square Central,"₹ 102,696",3,7.6
Madison LES Hotel,"₹ 62,067",3,7.3
Hampton Inn Madison Square Garden,"₹ 91,641",3,7.5
Gansevoort Meatpacking,"₹ 172,066",5,8.3
Hilton Club The Central at 5th New York,"₹ 241,033",3,9.0
The Ned NoMad,"₹ 272,216",5,8.0
Park Terrace Hotel,"₹ 148,504",4,8.7
The James New York - NoMad,"₹ 116,802",4,8.1
The Herald by LuxUrban,"₹ 93,852",3,7.8
Moderne Hotel,"₹ 104,105",4,8.0
"Hotel Indigo NYC Downtown - Wall Street, an IHG Hotel","₹ 104,729",4,8.3
Renaissance New York Midtown Hotel,"₹ 391,740",4,8.5
NoMo SoHo,"₹ 126,069",4,7.5
"EVEN Hotel New York - Midtown East, an IHG Hotel","₹ 110,591",4,8.2
Casa Cipriani New York,"₹ 377,794",5,9.3
Motto by Hilton New York City Chelsea,"₹ 151,663",4,8.6
Hudson Yard 408,"₹ 36,636",1,4.4
"Holiday Inn Express - Times Square, an IHG Hotel","₹ 82,988",3,6.4
Moxy NYC Downtown,"₹ 119,440",4,8.1
Hard Rock Hotel New York,"₹ 164,167",4,8.7
citizenM New York Times Square,"₹ 102,307",4,8.6
Arlo Midtown,"₹ 153,111",4,8.7
"Penthouse 5min to Top of the Rock, City Views, AC","₹ 827,453",4,9.8
The Gallivant Times Square,"₹ 60,275",4,6.1
Night Hotel Broadway,"₹ 62,991",3,6.3
Hampton Inn Manhattan/Downtown- Financial District,"₹ 99,705",3,7.6
OYO Times Square,"₹ 89,804",4,6.8
Moxy NYC Chelsea,"₹ 158,107",4,8.2
Hilton Garden Inn New York/Manhattan-Chelsea,"₹ 122,176",3,7.9
Millennium Hilton New York One UN Plaza,"₹ 133,043",4,7.6
Interfaith Retreats,"₹ 43,476",2,7.3
Radio City Apartments,"₹ 117,262",3,8.6
Freehand New York,"₹ 110,210",4,7.9
Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,"₹ 128,679",3,7.9
The Shelburne Sonesta New York,"₹ 124,759",4,8.0
Hilton Garden Inn New York Times Square South,"₹ 140,547",3,8.1
"The Langham, New York, Fifth Avenue","₹ 355,305",5,9.1
"Thompson Central Park New York, by Hyatt","₹ 189,714",5,8.3
Hilton Garden Inn New York/Tribeca,"₹ 121,521",3,7.6
AC Hotel by Marriott New York Downtown,"₹ 124,357",4,8.5
Residence Inn New York Downtown Manhattan/Financial District,"₹ 106,579",4,7.8
La Quinta by Wyndham New York City Central Park,"₹ 84,956",3,6.5
Cambria Hotel New York - Chelsea,"₹ 114,381",4,7.9
Courtyard New York Manhattan/Upper East Side,"₹ 116,546",3,7.7
The Benjamin Royal Sonesta New York,"₹ 171,538",5,7.5
Hyatt Centric Wall Street New York,"₹ 136,863",4,8.2
"The Draper New York, Tapestry Collection by Hilton","₹ 115,503",3,8.4
JW Marriott Essex House New York,"₹ 212,245",5,8.0
The Westin New York at Times Square,"₹ 124,382",5,7.9
Archer Hotel New York,"₹ 138,478",4,8.6
The Washington by LuxUrban,"₹ 111,546",4,7.9
Romer Hell's Kitchen,"₹ 148,742",4,8.6
"The Bernic Hotel New York City,Tapestry Collection by Hilton","₹ 158,123",4,8.0
Trump International New York,"₹ 219,779",5,8.9
Hotel 48LEX New York,"₹ 138,164",4,7.8
"Hotel Indigo NYC Financial District, an IHG Hotel","₹ 117,997",3,8.8
Hyatt Place New York/Midtown-South,"₹ 124,399",4,8.2
The Knickerbocker,"₹ 191,389",5,8.4
Four Points by Sheraton Manhattan Midtown West,"₹ 181,547",4,8.2
Heritage Hotel New York City,"₹ 80,394",3,7.2
Residence Inn by Marriott New York Manhattan/ Midtown Eastside,"₹ 146,745",4,8.4
Sofitel New York,"₹ 177,677",4,7.6
The Marmara Park Avenue,"₹ 142,888",5,8.1
The Westin New York Grand Central,"₹ 167,266",4,8.2
"Mandarin Oriental, New York","₹ 425,913",5,8.5
Hyatt Union Square New York,"₹ 182,763",4,7.6
Fitzpatrick Grand Central,"₹ 103,023",4,8.3
INNSiDE by Meliá New York Nomad,"₹ 127,146",4,8.5
"voco The Franklin New York, an IHG Hotel","₹ 130,580",4,8.4
Hampton Inn Manhattan Chelsea,"₹ 121,505",3,7.7
Moxy NYC East Village,"₹ 177,169",4,8.2
The Greenwich Hotel,"₹ 295,250",5,9.2
Arlo NoMad,"₹ 131,716",4,8.3
Tribeca Hotel FiDi,"₹ 69,784",3,5.5
Fitzpatrick Manhattan,"₹ 120,110",4,8.3
Millennium Premier New York Times Square,"₹ 140,514",4,7.3
Four Points by Sheraton Manhattan SoHo Village,"₹ 130,940",3,7.7
Sanctuary Hotel New York,"₹ 114,054",4,8.1
"Martinique New York on Broadway, Curio Collection by Hilton","₹ 153,067",4,8.1
Hotel Stanford,"₹ 99,505",3,8.3
The New York EDITION,"₹ 363,345",5,7.9
Grayson Hotel,"₹ 170,446",4,8.4
1 Hotel Central Park,"₹ 205,000",5,8.4
Courtyard by Marriott New York Manhattan / Soho,"₹ 158,136",4,8.0
Mondrian Park Avenue,"₹ 197,428",4,6.8
Hyatt House New York/Chelsea,"₹ 145,072",3,8.3
Conrad New York Downtown,"₹ 222,633",5,9.0
"Park South Hotel, part of JdV by Hyatt","₹ 174,471",4,8.4
"The Standard, High Line New York","₹ 177,317",4,8.0
The Wallace Hotel,"₹ 166,429",5,9.3
The Fifth Avenue Hotel,"₹ 247,633",5,9.5
Solita Soho Hotel,"₹ 108,715",3,7.7
The Dominick Hotel,"₹ 964,649",5,8.5
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel","₹ 176,396",4,8.4
Paramount Hotel Times Square,"₹ 75,885",4,6.6
The Gregorian New York City,"₹ 134,345",4,8.4
Pendry Manhattan West,"₹ 337,129",5,9.2
Chambers powered by Sonder,"₹ 130,864",4,8.3
Mint House at 70 Pine,"₹ 139,961",4,9.2
The Marlton Hotel,"₹ 142,172",4,8.3
"Holiday Inn Express Manhattan Midtown West, an IHG Hotel","₹ 99,279",3,7.0
Roxy Hotel New York,"₹ 158,890",4,8.5
Tuscany by LuxUrban,"₹ 120,028",4,7.4
"The Beekman, A Thompson Hotel, by Hyatt","₹ 186,887",5,8.6
"EVEN Hotel New York - Times Square South, an IHG Hotel","₹ 188,314",4,8.6
The Maritime Hotel,"₹ 147,977",4,8.7
The Gotham Hotel,"₹ 219,992",4,8.4
Orchard Street Hotel,"₹ 67,618",3,6.6
Sonder Battery Park,"₹ 108,692",4,8.6
"Holiday Inn Lower East Side, an IHG Hotel","₹ 88,429",4,8.0
The Bowery Hotel,"₹ 182,175",5,8.7
The Ludlow Hotel,"₹ 185,693",4,8.9
W New York - Union Square,"₹ 225,549",5,7.7
BeHome by LuxUrban,"₹ 73,574",3,6.6
Chelsea Pines Inn,"₹ 99,254",3,7.9
Bryant Park Hotel,"₹ 205,628",4,8.9
Park Hyatt New York,"₹ 465,029",5,7.4
The Plaza,"₹ 367,282",5,8.4
Hotel 27 by LuxUrban,"₹ 74,780",3,6.7
Baccarat Hotel and Residences New York,"₹ 350,530",5,9.0
Kixby,"₹ 168,690",4,8.3
Sonder at The Nash,"₹ 136,285",4,7.4
"Holiday Inn New York City - Times Square, an IHG Hotel","₹ 91,628",3,7.7
Nine Orchard,"₹ 183,180",4,9.2
Sonder at One Platt,"₹ 112,535",4,8.0
The Gatsby Hotel,"₹ 78,172",3,6.4
The Sherry Netherland,"₹ 248,512",5,9.1
Hudson River Hotel,"₹ 100,008",3,5.5
The Wall Street Hotel New York City,"₹ 202,696",5,9.3
The Standard - East Village,"₹ 174,804",4,8.1
Hotel 32 32,"₹ 92,030",4,6.8
The Luxury Collection Hotel Manhattan Midtown,"₹ 185,191",5,8.2
31 Street Broadway Hotel,"₹ 28,897",2,4.5
"Hotel Alameda, Highline","₹ 164,226",4,7.0
Best Western Premier Empire State Hotel,"₹ 103,188",3,8.3
Sonder Duane Street,"₹ 148,306",4,7.8
Private room in Manhattan,"₹ 33,922",3,7.4
The Mercer,"₹ 244,994",5,8.5
Best Western Plus Soho Hotel,"₹ 105,443",3,8.7
