Hotel Name,Price,Star,Rating
Hyatt Regency JFK Airport at Resorts World New York,"₹81,368",4,8.5
"Hotel 50 Bowery, part of JdV by Hyatt","₹1,50,861",4,8.9
Hyatt House New York/Chelsea,"₹1,68,347",3,8.5
"The Draper New York, Tapestry Collection by Hilton","₹1,33,417",3,8.7
"The Ritz-Carlton New York, Central Park","₹4,19,969",5,9.1
Aloft Harlem,"₹92,184",4,8.3
Selina Chelsea,"₹1,25,106",4,7.5
Fitzpatrick Manhattan,"₹1,45,909",4,8.8
TownePlace Suites by Marriott New York Manhattan/Times Square,"₹1,31,344",3,8.5
Doxie Hotel,"₹1,03,554",2,6.9
The Plaza,"₹4,41,078",5,9.0
Arthouse Hotel,"₹1,04,732",4,8.3
Four Seasons Hotel New York Downtown,"₹3,56,485",5,9.3
1 Hotel Central Park,"₹2,44,210",5,9.0
The Ludlow Hotel,"₹2,13,956",4,9.2
Hilton Garden Inn New York/Tribeca,"₹1,29,711",3,8.1
"Staypineapple, An Artful Hotel, Midtown New York","₹1,28,580",4,9.0
Four Points by Sheraton Manhattan SoHo Village,"₹1,51,129",3,8.0
The Mercer,"₹2,82,002",5,9.0
Pestana CR7 Times Square,"₹1,17,827",4,8.6
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,"₹1,80,141",4,8.4
Hyatt Grand Central New York,"₹1,26,376",4,7.7
Tempo by Hilton New York Times Square,"₹1,32,643",4,9.0
The Hotel Chelsea,"₹1,87,334",4,9.7
NoMo SoHo,"₹1,65,553",4,8.0
The Gardens Sonesta ES Suites New York,"₹1,53,539",3,8.7
Aloft Long Island City-Manhattan View,"₹85,596",4,8.6
Millennium Hilton New York One UN Plaza,"₹1,63,633",4,8.1
Motto by Hilton New York City Chelsea,"₹1,83,559",3,9.1
The Pearl Hotel,"₹1,68,783",4,9.1
DoubleTree by Hilton New York Downtown,"₹1,07,654",4,7.5
Hilton Club The Quin New York,"₹1,52,103",3,8.8
AC Hotel by Marriott New York Downtown,"₹1,38,192",4,8.7
Hyatt Union Square New York,"₹2,19,270",4,8.7
"EVEN Hotel New York - Times Square South, an IHG Hotel","₹2,24,250",4,9.2
Four Points by Sheraton Manhattan Midtown West,"₹1,88,367",4,8.6
Thompson Central Park New York by Hyatt,"₹2,29,877",5,8.7
Moxy NYC Lower East Side,"₹1,45,429",4,8.7
Executive Hotel Le Soleil New York,"₹1,32,073",4,8.8
Sanctuary Hotel New York,"₹1,39,976",4,8.6
La Quinta by Wyndham New York City Central Park,"₹86,496",3,6.6
"voco The Franklin New York, an IHG Hotel","₹1,19,174",4,8.5
The Washington by LuxUrban,"₹1,11,362",4,7.8
Kixby,"₹1,76,511",4,8.9
Empire Hotel,"₹1,04,048",4,7.3
The Westin New York Grand Central,"₹1,80,878",4,8.5
"Hotel Indigo NYC Financial District, an IHG Hotel","₹1,33,521",3,8.9
The Blakely by LuxUrban,"₹1,13,204",4,7.9
"Dream Downtown, by Hyatt","₹1,40,433",4,8.1
Moderne Hotel,"₹1,26,088",4,8.5
"Le Meridien New York, Central Park by Marriott","₹2,22,607",5,7.8
Hotel Hayden New York,"₹1,20,364",4,7.7
Hilton Garden Inn New York Times Square North,"₹1,32,361",3,8.4
Wyndham Garden Brooklyn Sunset Park,"₹71,223",4,8.2
"The Chatwal, The Unbound Collection by Hyatt","₹3,10,979",5,9.2
Courtyard by Marriott Times Square West,"₹1,76,471",3,8.7
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,"₹1,65,361",4,8.8
The Allen Hotel,"₹99,199",4,8.3
Hotel Richland LES,"₹91,490",3,8.5
Hyatt Place New York/Midtown-South,"₹1,37,857",4,8.5
The Mark New York,"₹3,99,208",5,9.3
Hotel Beacon,"₹1,30,589",4,9.0
Extended Stay America Elizabeth - Newark Airport,"₹34,852",2,6.4
Merrion Row Hotel and Public House,"₹1,39,511",4,9.4
Life Hotel New York,"₹1,47,929",4,8.1
Adria Hotel and Conference Center,"₹50,400",3,8.0
"The Beekman Tower, Trademark Collection by Wyndham","₹1,54,161",4,8.3
Aura Hotel Times Square Newly Renovated,"₹91,132",4,8.3
Aloft New York LaGuardia Airport,"₹71,715",3,8.3
Citadines Connect Fifth Avenue New York,"₹1,33,280",3,7.7
Courtyard by Marriott Long Island City/New York Manhattan View,"₹90,007",3,8.4
"Club Quarters Hotel World Trade Center, New York","₹1,06,634",4,8.6
Fitzpatrick Grand Central,"₹1,26,304",4,8.8
OYO Times Square,"₹1,09,176",4,7.0
Umbrella Hotel Brooklyn,"₹53,384",3,6.5
The FIDI Hotel,"₹1,13,363",4,8.5
The Wallace Hotel,"₹1,91,851",5,9.6
The Muse New York,"₹1,73,921",4,8.9
Hotel Edison Times Square,"₹1,06,624",4,7.7
Heritage Hotel New York City,"₹1,06,428",3,7.5
Park Hyatt New York,"₹5,34,988",5,9.0
Renaissance New York Times Square Hotel by Marriott,"₹1,50,716",4,8.8
Millennium Premier New York Times Square,"₹1,72,208",4,7.7
Eurostars Wall Street,"₹96,912",4,7.6
Courtyard by Marriott New York Manhattan / Soho,"₹1,82,336",4,8.6
The Historic Blue Moon Hotel - NYC,"₹1,04,243",4,8.3
Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,"₹1,38,129",3,8.0
SpringHill Suites by Marriott New York Midtown Manhattan/Park Ave,"₹1,09,362",3,8.3
Ameritania at Times Square,"₹1,10,306",4,8.5
The Ridge,"₹1,00,690",3,7.8
Hyatt Place New York City/Times Square,"₹1,40,341",3,7.5
Best Western Queens Gold Coast,"₹58,147",3,7.9
Sonder at The Nash,"₹1,57,273",4,7.3
The St. Regis New York,"₹4,11,867",5,9.0
Hotel Elysee by Library Hotel Collection,"₹1,56,543",4,9.1
DoubleTree by Hilton New York Midtown Fifth Ave,"₹1,23,991",4,7.8
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel","₹2,11,831",4,9.0
Hotel Giraffe by Library Hotel Collection,"₹1,94,934",4,9.6
"The Pierre, A Taj Hotel, New York","₹2,53,864",5,9.0
Courtyard New York Manhattan/Times Square,"₹1,32,441",3,8.3
Comfort Inn & Suites LaGuardia Airport,"₹66,600",3,7.5
"Mandarin Oriental, New York","₹4,89,601",5,9.1
Moxy NYC East Village,"₹2,04,411",4,8.5
The James New York - NoMad,"₹1,47,306",4,8.4
Nolitan Hotel SoHo - New York,"₹1,61,263",4,8.6
City Club Hotel,"₹1,25,404",4,7.6
Hotel Stanford,"₹1,02,500",3,8.2
Hotel 48LEX New York,"₹1,80,829",4,8.4
Arlo SoHo,"₹1,75,349",4,8.7
The Flat NYC,"₹85,074",3,8.3
Residence Inn by Marriott New York Manhattan/ Midtown Eastside,"₹1,69,767",4,8.9
The Marlton Hotel,"₹1,57,493",4,8.9
New York Marriott Downtown,"₹2,63,301",4,8.5
Hilton Club The Central at 5th New York,"₹2,77,464",3,9.2
Casa Cipriani New York,"₹4,34,888",5,9.6
JW Marriott Essex House New York,"₹2,55,730",5,8.5
Residence Inn by Marriott New York Manhattan/Times Square,"₹1,06,089",4,8.3
Hilton New York Fashion District,"₹1,33,793",4,8.1
"Public, an Ian Schrager hotel","₹1,99,131",4,8.4
Freehand New York,"₹1,29,402",4,8.1
Hotel 32 32,"₹90,568",4,7.8
"Hotel Indigo NYC Downtown - Wall Street, an IHG Hotel","₹1,07,801",4,8.8
Sixty LES,"₹1,53,722",4,7.7
1234 Broadway Avenue,"₹80,389",2,5.0
Madison LES Hotel,"₹77,022",3,7.8
Wyndham Garden Chinatown,"₹80,445",4,8.0
Redford,"₹70,675",3,7.1
Hyatt Centric Midtown 5th Avenue New York,"₹1,83,105",4,8.5
Bowery Grand Hotel,"₹13,919",1,4.2
The Hotel at Fifth Avenue,"₹1,14,591",3,7.6
Nine Orchard,"₹2,11,079",4,9.4
Quality Inn near Sunset Park,"₹46,782",3,7.0
Sheraton New York Times Square Hotel,"₹1,27,643",4,7.8
Aloft New York Chelsea,"₹1,82,268",4,8.7
Grandview Hotel New York,"₹68,927",2,7.8
Hyatt Place New York/Chelsea,"₹1,38,990",3,8.0
WestHouse Hotel New York,"₹1,59,758",5,8.5
Hampton Inn Manhattan Grand Central,"₹1,04,299",3,8.4
Wingate by Wyndham New York Midtown South/5th Ave,"₹1,17,231",3,8.3
The Knickerbocker,"₹2,04,918",5,8.8
AC Hotel by Marriott New York Times Square,"₹1,51,841",4,8.7
"The Ritz-Carlton New York, NoMad","₹4,23,429",5,8.6
"The Bernic Hotel New York City,Tapestry Collection by Hilton","₹1,82,320",4,8.6
The Luxury Collection Hotel Manhattan Midtown,"₹1,81,204",5,8.5
New York Hilton Midtown,"₹1,12,458",3,8.0
YOTEL New York Times Square,"₹2,01,343",4,7.8
Carnegie Hotel,"₹1,54,875",4,9.1
Aloft Manhattan Downtown - Financial District,"₹1,27,813",4,7.7
Walker Hotel Tribeca,"₹1,54,994",4,8.3
